Commit Hash,ClassQualifiedName,Decor_Spaghetti_Code,Decor_Large_Class,Decor_Complex_Class
da81a5c57f7e5ea5e7e2551c3ff7e6b5e19eb781,org.zakky.smart_tag_app.MediaUtils,0,0,0
da81a5c57f7e5ea5e7e2551c3ff7e6b5e19eb781,org.zakky.smart_tag_app.SmartTagAppActivity,0,0,0
da81a5c57f7e5ea5e7e2551c3ff7e6b5e19eb781,org.zakky.smart_tag_app.SmartTagTask,0,0,0
da81a5c57f7e5ea5e7e2551c3ff7e6b5e19eb781,org.zakky.memopad.BgConfigActionProvider,0,0,0
da81a5c57f7e5ea5e7e2551c3ff7e6b5e19eb781,org.zakky.memopad.CanvasFragment,0,0,0
da81a5c57f7e5ea5e7e2551c3ff7e6b5e19eb781,org.zakky.memopad.MyDialogFragment,0,0,0
da81a5c57f7e5ea5e7e2551c3ff7e6b5e19eb781,org.zakky.memopad.PadActivity,0,0,0
da81a5c57f7e5ea5e7e2551c3ff7e6b5e19eb781,org.zakky.memopad.PaintView,0,0,0
da81a5c57f7e5ea5e7e2551c3ff7e6b5e19eb781,org.zakky.memopad.PenConfigActionProvider,0,0,0
9f0958902741cc46b10e5d6f480d64824809673d,org.zakky.smart_tag_app.MediaUtils,0,0,0
9f0958902741cc46b10e5d6f480d64824809673d,org.zakky.smart_tag_app.SmartTagAppActivity,0,0,0
9f0958902741cc46b10e5d6f480d64824809673d,org.zakky.smart_tag_app.SmartTagTask,0,0,0
9f0958902741cc46b10e5d6f480d64824809673d,org.zakky.memopad.BgConfigActionProvider,0,0,0
9f0958902741cc46b10e5d6f480d64824809673d,org.zakky.memopad.CanvasFragment,0,0,0
9f0958902741cc46b10e5d6f480d64824809673d,org.zakky.memopad.MyDialogFragment,0,0,0
9f0958902741cc46b10e5d6f480d64824809673d,org.zakky.memopad.PadActivity,0,0,0
9f0958902741cc46b10e5d6f480d64824809673d,org.zakky.memopad.PaintView,0,0,0
9f0958902741cc46b10e5d6f480d64824809673d,org.zakky.memopad.PenConfigActionProvider,0,0,0
0b86f9abc1f1c0884f91a0f722e4e00fd92dfcac,org.zakky.smart_tag_app.MediaUtils,0,0,0
0b86f9abc1f1c0884f91a0f722e4e00fd92dfcac,org.zakky.smart_tag_app.SmartTagAppActivity,0,0,0
