Commit Hash,ClassQualifiedName,Decor_Spaghetti_Code,Decor_Large_Class,Decor_Complex_Class
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.PictureThread,0,0,0
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.RatingThread,0,0,0
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.SigfoodActivity,0,0,0
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.SigfoodApi,0,0,0
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.SigfoodMain,0,0,0
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.SigfoodSettings,0,0,0
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.SigfoodThread,0,0,0
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.ApplicationTest,0,0,0
b19c7ec4e209e5a670c51455269fa5ffc71bc833,com.buzzingandroid.tabswipe.TabSwipeActivity,0,0,0
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.Bewertung,0,0,0
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.CommentFragment,0,0,0
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.CommentThread,0,0,0
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.CustomMultiPartEntity,0,0,0
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.Hauptgericht,0,0,0
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.HttpMultipartClient,0,0,0
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.Kommentar,0,0,0
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.MealActivity,0,0,0
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.MealFragment,0,0,0
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.MensaEssen,0,0,0
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.PictureThread,0,0,0
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.RatingThread,0,0,0
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.SigfoodActivity,0,0,0
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.SigfoodApi,0,0,0
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.SigfoodMain,0,0,0
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.SigfoodSettings,0,0,0
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.SigfoodThread,0,0,0
c884d5c85aa64b24fd45ae171425d9b2293e8b1e,de.sigfood.ApplicationTest,0,0,0
