Commit Hash,ClassQualifiedName,LOC,LCOM,CBO,WMC
c884d5c85aa64b24fd45ae171425d9b2293e8b1e,de.sigfood.CustomMultiPartEntity,40,0,6,5
c884d5c85aa64b24fd45ae171425d9b2293e8b1e,de.sigfood.Hauptgericht,11,0,2,0
c884d5c85aa64b24fd45ae171425d9b2293e8b1e,de.sigfood.HttpMultipartClient,251,75,12,52
c884d5c85aa64b24fd45ae171425d9b2293e8b1e,de.sigfood.Kommentar,6,0,1,0
c884d5c85aa64b24fd45ae171425d9b2293e8b1e,de.sigfood.MealActivity,218,40,37,33
c884d5c85aa64b24fd45ae171425d9b2293e8b1e,de.sigfood.MealFragment,213,0,19,19
c884d5c85aa64b24fd45ae171425d9b2293e8b1e,de.sigfood.MensaEssen,7,0,3,0
c884d5c85aa64b24fd45ae171425d9b2293e8b1e,de.sigfood.PictureThread,124,0,15,10
c884d5c85aa64b24fd45ae171425d9b2293e8b1e,de.sigfood.RatingThread,67,0,14,11
c884d5c85aa64b24fd45ae171425d9b2293e8b1e,de.sigfood.SigfoodActivity,279,41,37,40
c884d5c85aa64b24fd45ae171425d9b2293e8b1e,de.sigfood.SigfoodApi,144,3,14,11
c884d5c85aa64b24fd45ae171425d9b2293e8b1e,de.sigfood.SigfoodMain,8,0,0,2
c884d5c85aa64b24fd45ae171425d9b2293e8b1e,de.sigfood.SigfoodSettings,17,6,3,4
c884d5c85aa64b24fd45ae171425d9b2293e8b1e,de.sigfood.SigfoodThread,83,0,7,10
e9146f29ef758bc001f1d7c31f62ed45d8465053,de.sigfood.ApplicationTest,8,0,2,1
e9146f29ef758bc001f1d7c31f62ed45d8465053,com.buzzingandroid.tabswipe.TabSwipeActivity,95,0,14,7
e9146f29ef758bc001f1d7c31f62ed45d8465053,de.sigfood.Bewertung,6,0,1,0
e9146f29ef758bc001f1d7c31f62ed45d8465053,de.sigfood.CommentFragment,72,0,13,18
e9146f29ef758bc001f1d7c31f62ed45d8465053,de.sigfood.CommentThread,75,0,14,11
e9146f29ef758bc001f1d7c31f62ed45d8465053,de.sigfood.CustomMultiPartEntity,40,0,6,5
e9146f29ef758bc001f1d7c31f62ed45d8465053,de.sigfood.Hauptgericht,11,0,2,0
e9146f29ef758bc001f1d7c31f62ed45d8465053,de.sigfood.HttpMultipartClient,251,75,12,52
e9146f29ef758bc001f1d7c31f62ed45d8465053,de.sigfood.Kommentar,6,0,1,0
e9146f29ef758bc001f1d7c31f62ed45d8465053,de.sigfood.MealActivity,218,40,37,33
e9146f29ef758bc001f1d7c31f62ed45d8465053,de.sigfood.MealFragment,213,0,19,19
e9146f29ef758bc001f1d7c31f62ed45d8465053,de.sigfood.MensaEssen,7,0,3,0
e9146f29ef758bc001f1d7c31f62ed45d8465053,de.sigfood.PictureThread,124,0,15,10
e9146f29ef758bc001f1d7c31f62ed45d8465053,de.sigfood.RatingThread,67,0,14,11
e9146f29ef758bc001f1d7c31f62ed45d8465053,de.sigfood.SigfoodActivity,279,41,37,40
e9146f29ef758bc001f1d7c31f62ed45d8465053,de.sigfood.SigfoodApi,144,3,14,11
e9146f29ef758bc001f1d7c31f62ed45d8465053,de.sigfood.SigfoodMain,8,0,0,2
e9146f29ef758bc001f1d7c31f62ed45d8465053,de.sigfood.SigfoodSettings,17,6,3,4
e9146f29ef758bc001f1d7c31f62ed45d8465053,de.sigfood.SigfoodThread,83,0,7,10
fbe58ac3c5a2fcf3c551660c03a789c7eb87c3e2,de.sigfood.ApplicationTest,8,0,2,1
fbe58ac3c5a2fcf3c551660c03a789c7eb87c3e2,com.buzzingandroid.tabswipe.TabSwipeActivity,95,0,14,7
fbe58ac3c5a2fcf3c551660c03a789c7eb87c3e2,de.sigfood.Bewertung,6,0,1,0
