Commit Hash,ClassQualifiedName,LOC,LCOM,CBO,WMC
0ea8e817d907e833f7cbf0fed8db7dd7b768f5df,org.zakky.memopad.PenConfigActionProvider,131,0,9,32
9a91a92589d146e3b2758ba17624d699f2fb6c99,org.zakky.smart_tag_app.MediaUtils,91,10,10,15
9a91a92589d146e3b2758ba17624d699f2fb6c99,org.zakky.smart_tag_app.SmartTagAppActivity,121,0,18,16
9a91a92589d146e3b2758ba17624d699f2fb6c99,org.zakky.smart_tag_app.SmartTagTask,35,4,5,8
9a91a92589d146e3b2758ba17624d699f2fb6c99,org.zakky.memopad.BgConfigActionProvider,112,0,7,26
9a91a92589d146e3b2758ba17624d699f2fb6c99,org.zakky.memopad.CanvasFragment,117,56,8,25
9a91a92589d146e3b2758ba17624d699f2fb6c99,org.zakky.memopad.MyDialogFragment,35,0,9,6
9a91a92589d146e3b2758ba17624d699f2fb6c99,org.zakky.memopad.PadActivity,179,100,15,29
9a91a92589d146e3b2758ba17624d699f2fb6c99,org.zakky.memopad.PaintView,265,137,26,48
9a91a92589d146e3b2758ba17624d699f2fb6c99,org.zakky.memopad.PenConfigActionProvider,131,0,9,32
d34124f42d2d650bf3007f7f726e181345940a77,org.zakky.smart_tag_app.MediaUtils,91,10,10,15
d34124f42d2d650bf3007f7f726e181345940a77,org.zakky.smart_tag_app.SmartTagAppActivity,121,0,18,16
d34124f42d2d650bf3007f7f726e181345940a77,org.zakky.smart_tag_app.SmartTagTask,35,4,5,8
d34124f42d2d650bf3007f7f726e181345940a77,org.zakky.memopad.BgConfigActionProvider,112,0,7,26
d34124f42d2d650bf3007f7f726e181345940a77,org.zakky.memopad.CanvasFragment,117,56,8,25
d34124f42d2d650bf3007f7f726e181345940a77,org.zakky.memopad.MyDialogFragment,35,0,9,6
d34124f42d2d650bf3007f7f726e181345940a77,org.zakky.memopad.PadActivity,179,100,15,29
d34124f42d2d650bf3007f7f726e181345940a77,org.zakky.memopad.PaintView,265,137,26,48
d34124f42d2d650bf3007f7f726e181345940a77,org.zakky.memopad.PenConfigActionProvider,131,0,9,32
4c62368fb4eed4bcb655e4103dde4be54c06c3f3,org.zakky.smart_tag_app.MediaUtils,91,10,10,15
4c62368fb4eed4bcb655e4103dde4be54c06c3f3,org.zakky.smart_tag_app.SmartTagAppActivity,121,0,18,16
4c62368fb4eed4bcb655e4103dde4be54c06c3f3,org.zakky.smart_tag_app.SmartTagTask,35,4,5,8
4c62368fb4eed4bcb655e4103dde4be54c06c3f3,org.zakky.memopad.BgConfigActionProvider,112,0,7,26
4c62368fb4eed4bcb655e4103dde4be54c06c3f3,org.zakky.memopad.CanvasFragment,117,56,8,25
4c62368fb4eed4bcb655e4103dde4be54c06c3f3,org.zakky.memopad.MyDialogFragment,35,0,9,6
4c62368fb4eed4bcb655e4103dde4be54c06c3f3,org.zakky.memopad.PadActivity,179,100,15,29
4c62368fb4eed4bcb655e4103dde4be54c06c3f3,org.zakky.memopad.PaintView,265,137,26,48
4c62368fb4eed4bcb655e4103dde4be54c06c3f3,org.zakky.memopad.PenConfigActionProvider,131,0,9,32
da81a5c57f7e5ea5e7e2551c3ff7e6b5e19eb781,org.zakky.smart_tag_app.MediaUtils,91,10,10,15
da81a5c57f7e5ea5e7e2551c3ff7e6b5e19eb781,org.zakky.smart_tag_app.SmartTagAppActivity,121,0,18,16
da81a5c57f7e5ea5e7e2551c3ff7e6b5e19eb781,org.zakky.smart_tag_app.SmartTagTask,35,4,5,8
da81a5c57f7e5ea5e7e2551c3ff7e6b5e19eb781,org.zakky.memopad.BgConfigActionProvider,112,0,7,26
da81a5c57f7e5ea5e7e2551c3ff7e6b5e19eb781,org.zakky.memopad.CanvasFragment,117,56,8,25
da81a5c57f7e5ea5e7e2551c3ff7e6b5e19eb781,org.zakky.memopad.MyDialogFragment,35,0,9,6
