Commit,Decor_Spaghetti_Code,Decor_Large_Class,Decor_Complex_Class
0.43,2.88,3.85,0.68
0.43,2.88,3.85,0.68
0.43,2.88,3.85,0.68
0.43,2.88,3.85,0.68
0.43,2.88,3.85,0.68
0.44,2.88,3.85,0.68
0.44,2.88,3.85,0.68
0.44,2.88,3.85,0.68
0.43,2.92,3.91,0.69
0.42,2.96,3.96,0.7
0.43,2.96,3.96,0.7
0.43,2.96,3.96,0.7
0.43,2.96,3.96,0.7
0.43,2.96,3.96,0.7
0.42,3.0,4.01,0.71
0.42,3.0,4.01,0.71
0.43,3.0,4.01,0.71
0.43,3.0,4.01,0.71
0.43,3.0,4.01,0.71
0.43,3.0,4.01,0.71
0.43,3.0,4.01,0.71
0.43,3.0,4.01,0.71
0.43,3.0,4.01,0.71
0.43,3.0,4.01,0.71
0.44,3.0,4.01,0.71
0.44,3.0,4.01,0.71
0.44,3.0,4.01,0.71
0.44,3.0,4.01,0.71
0.44,3.0,4.01,0.71
0.44,3.0,4.01,0.71
0.44,3.0,4.01,0.71
0.44,3.03,4.06,0.72
0.44,3.03,4.06,0.72
0.44,3.03,4.06,0.72
0.43,3.03,4.06,0.73
0.43,3.03,4.06,0.73
0.43,3.03,4.06,0.73
0.44,3.03,4.06,0.73
0.44,3.03,4.06,0.73
0.44,3.03,4.06,0.73
0.44,3.03,4.06,0.73
0.43,3.07,4.12,0.74
0.43,3.07,4.12,0.74
0.44,3.07,4.12,0.74
0.44,3.07,4.12,0.74
0.44,3.07,4.12,0.74
0.44,3.07,4.12,0.74
0.44,3.07,4.12,0.74
0.43,3.12,4.16,0.75
0.43,3.12,4.16,0.75
0.44,3.12,4.16,0.75
0.44,3.12,4.16,0.75
0.44,3.12,4.16,0.75
0.44,3.12,4.16,0.75
0.44,3.12,4.16,0.75
0.44,3.12,4.16,0.75
0.44,3.12,4.16,0.75
0.44,3.12,4.16,0.75
0.44,3.03,4.06,0.75
0.43,3.08,4.12,0.76
0.43,3.08,4.12,0.76
0.43,3.08,4.12,0.76
0.43,3.08,4.12,0.76
0.43,3.08,4.12,0.76
0.43,3.08,4.12,0.76
0.44,3.08,4.12,0.76
0.44,3.08,4.12,0.76
0.44,3.08,4.12,0.76
0.44,3.08,4.12,0.76
0.44,3.08,4.12,0.76
0.44,3.08,4.12,0.76
0.44,3.08,4.12,0.76
0.44,3.08,4.12,0.76
0.44,3.12,4.18,0.77
0.44,3.12,4.18,0.77
0.44,3.12,4.18,0.77
0.44,3.12,4.18,0.77
0.44,3.12,4.18,0.77
0.44,3.12,4.18,0.77
0.44,3.12,4.18,0.77
0.44,3.12,4.18,0.77
0.45,3.12,4.18,0.77
0.44,3.17,4.25,0.78
0.44,3.17,4.25,0.78
0.44,3.17,4.25,0.78
0.44,3.17,4.25,0.78
0.44,3.17,4.25,0.78
0.44,3.17,4.25,0.78
0.44,3.17,4.25,0.78
0.45,3.17,4.25,0.78
0.44,3.22,4.32,0.79
0.44,3.22,4.32,0.79
0.44,3.22,4.32,0.79
0.44,3.22,4.32,0.79
0.44,3.22,4.32,0.79
0.44,3.22,4.32,0.79
0.44,3.22,4.32,0.79
0.44,3.22,4.32,0.79
0.44,3.27,4.39,0.81
0.44,3.27,4.39,0.81
0.44,3.27,4.39,0.81
0.44,3.27,4.39,0.81
0.44,3.27,4.39,0.81
0.42,3.37,4.52,0.83
0.42,3.37,4.52,0.83
0.43,3.37,4.52,0.83
0.42,3.41,4.58,0.85
0.42,3.41,4.58,0.85
0.42,3.41,4.58,0.85
0.42,3.41,4.58,0.85
0.42,3.41,4.58,0.85
0.42,3.41,4.58,0.85
0.42,3.41,4.58,0.85
0.42,3.41,4.58,0.85
0.42,3.41,4.58,0.85
0.41,3.45,4.62,0.86
0.42,3.45,4.62,0.86
0.42,3.45,4.62,0.86
0.42,3.45,4.62,0.86
0.42,3.45,4.62,0.86
0.42,3.45,4.62,0.86
0.42,3.45,4.62,0.86
0.42,3.45,4.62,0.86
0.42,3.45,4.62,0.86
0.42,3.45,4.62,0.86
0.42,3.45,4.62,0.86
0.43,3.45,4.62,0.86
0.43,3.45,4.62,0.86
0.43,3.45,4.62,0.86
0.43,3.45,4.62,0.86
0.43,3.45,4.62,0.86
0.43,3.45,4.62,0.86
0.43,3.45,4.62,0.86
0.43,3.45,4.62,0.86
0.43,3.45,4.62,0.86
0.43,3.45,4.62,0.86
0.44,3.45,4.62,0.86
0.44,3.45,4.62,0.86
0.44,3.45,4.62,0.86
0.44,3.45,4.62,0.86
0.44,3.45,4.62,0.86
0.44,3.45,4.62,0.86
0.44,3.45,4.62,0.86
0.44,3.45,4.62,0.86
0.44,3.45,4.62,0.86
0.44,3.45,4.62,0.86
0.45,3.45,4.62,0.86
0.45,3.45,4.62,0.86
0.45,3.45,4.62,0.86
0.45,3.45,4.62,0.86
0.45,3.45,4.62,0.86
0.45,3.45,4.62,0.86
0.45,3.45,4.62,0.86
0.44,3.26,4.37,0.86
0.43,3.32,4.43,0.88
0.43,3.32,4.43,0.88
0.43,3.32,4.43,0.88
0.44,3.32,4.43,0.88
0.44,3.32,4.43,0.88
0.44,3.32,4.43,0.88
0.44,3.32,4.43,0.88
0.44,3.32,4.43,0.88
0.44,3.32,4.43,0.88
0.43,3.38,4.51,0.89
0.43,3.38,4.51,0.89
0.43,3.38,4.51,0.89
0.43,3.38,4.51,0.89
0.43,3.38,4.51,0.89
0.43,3.38,4.51,0.89
0.44,3.38,4.51,0.89
0.44,3.38,4.51,0.89
0.44,3.38,4.51,0.89
0.44,3.38,4.51,0.89
0.44,3.38,4.51,0.89
0.44,3.38,4.51,0.89
0.44,3.38,4.51,0.89
0.44,3.38,4.51,0.89
0.44,3.38,4.51,0.89
0.44,3.38,4.51,0.89
0.44,3.38,4.51,0.89
0.45,3.38,4.51,0.89
0.45,3.38,4.51,0.89
0.45,3.38,4.51,0.89
0.45,3.38,4.51,0.89
0.45,3.38,4.51,0.89
0.45,3.38,4.51,0.89
0.45,3.38,4.51,0.89
0.45,3.38,4.51,0.89
0.45,3.38,4.51,0.89
0.45,3.38,4.51,0.89
0.45,3.38,4.51,0.89
0.46,3.38,4.51,0.89
0.46,3.38,4.51,0.89
0.46,3.38,4.51,0.89
0.46,3.38,4.51,0.89
0.46,3.38,4.51,0.89
0.46,3.38,4.51,0.89
0.46,3.38,4.51,0.89
0.46,3.38,4.51,0.89
0.46,3.38,4.51,0.89
0.46,3.38,4.51,0.89
0.46,3.38,4.51,0.89
0.46,3.38,4.51,0.89
0.47,3.38,4.51,0.89
0.47,3.38,4.51,0.89
0.47,3.38,4.51,0.89
0.47,3.38,4.51,0.89
0.47,3.38,4.51,0.89
0.47,3.38,4.51,0.89
0.47,3.38,4.51,0.89
0.46,3.44,4.59,0.91
0.46,3.44,4.59,0.91
0.46,3.44,4.59,0.91
0.46,3.44,4.59,0.91
0.47,3.44,4.59,0.91
0.47,3.44,4.59,0.91
0.47,3.44,4.59,0.91
0.47,3.44,4.59,0.91
0.47,3.44,4.59,0.91
