Commit,LOC,LCOM,CBO,WMC
0.39,12956.65,9720.92,1259.21,2651.19
0.39,12956.65,9720.92,1259.21,2651.19
0.39,12956.65,9720.92,1259.21,2651.19
0.4,12956.65,9720.92,1259.21,2651.19
0.4,12956.65,9720.92,1259.21,2651.19
0.4,12956.65,9720.92,1259.21,2651.19
0.4,12956.65,9720.92,1259.21,2651.19
0.4,12956.65,9720.92,1259.21,2651.19
0.4,13092.76,9824.2,1272.3,2679.11
0.39,13172.34,9867.24,1282.52,2697.67
0.39,13248.1,9961.15,1291.2,2714.83
0.39,13248.1,9961.15,1291.2,2714.83
0.39,13248.1,9961.15,1291.2,2714.83
0.39,13248.1,9961.15,1291.2,2714.83
0.4,13248.1,9961.15,1291.2,2714.83
0.4,13248.1,9961.15,1291.2,2714.83
0.39,13279.99,10024.03,1291.99,2717.7
0.39,13279.99,10024.03,1291.99,2717.7
0.4,13279.99,10024.03,1291.99,2717.7
0.4,13279.99,10024.03,1291.99,2717.7
0.39,13414.48,10114.2,1304.93,2745.66
0.39,13414.48,10114.2,1304.93,2745.66
0.4,13414.48,10114.2,1304.93,2745.66
0.4,13414.48,10114.2,1304.93,2745.66
0.4,13414.48,10114.2,1304.93,2745.66
0.4,13414.48,10114.2,1304.93,2745.66
0.4,13414.48,10114.2,1304.93,2745.66
0.41,13414.48,10114.2,1304.93,2745.66
0.4,13537.08,10213.1,1315.81,2769.75
0.4,13537.08,10213.1,1315.81,2769.75
0.4,13537.08,10213.1,1315.81,2769.75
0.41,13537.08,10213.1,1315.81,2769.75
0.41,13537.08,10213.1,1315.81,2769.75
0.41,13537.08,10213.1,1315.81,2769.75
0.4,13650.92,10296.88,1327.67,2793.78
0.41,13650.92,10296.88,1327.67,2793.78
0.41,13650.92,10296.88,1327.67,2793.78
0.41,13650.92,10296.88,1327.67,2793.78
0.4,13751.54,10402.25,1335.79,2816.54
0.41,13751.54,10402.25,1335.79,2816.54
0.41,13751.54,10402.25,1335.79,2816.54
