Commit,DW_Smell,IDS_Smell,IS_Smell,LT_Smell,MIM_Smell
0.38,0.11,0.16,0.54,0.06,21.07
0.38,0.11,0.16,0.54,0.06,21.07
0.38,0.11,0.16,0.54,0.06,21.07
0.39,0.11,0.16,0.54,0.06,21.07
0.39,0.11,0.16,0.54,0.06,21.07
0.39,0.11,0.16,0.54,0.06,21.07
0.39,0.11,0.16,0.55,0.06,21.13
0.39,0.11,0.16,0.55,0.06,21.13
0.38,0.11,0.17,0.55,0.06,21.35
0.38,0.11,0.17,0.55,0.06,21.35
0.39,0.11,0.17,0.55,0.06,21.35
0.39,0.11,0.17,0.55,0.06,21.35
0.38,0.12,0.17,0.56,0.06,21.55
0.39,0.12,0.17,0.56,0.06,21.55
0.39,0.12,0.17,0.56,0.06,21.55
0.39,0.12,0.17,0.56,0.06,21.55
0.39,0.12,0.17,0.56,0.06,21.55
0.39,0.12,0.17,0.56,0.06,21.55
0.4,0.12,0.17,0.56,0.06,21.55
0.4,0.12,0.17,0.56,0.06,21.55
0.4,0.12,0.17,0.56,0.06,21.55
0.4,0.12,0.17,0.56,0.06,21.55
0.4,0.12,0.17,0.56,0.06,21.55
0.4,0.12,0.17,0.56,0.06,21.78
0.39,0.12,0.17,0.54,0.06,21.96
0.39,0.12,0.17,0.54,0.07,22.09
0.39,0.12,0.17,0.54,0.07,22.09
0.39,0.12,0.17,0.54,0.07,22.09
0.39,0.12,0.17,0.54,0.07,22.09
0.4,0.12,0.17,0.54,0.07,22.09
0.4,0.12,0.17,0.54,0.07,22.09
0.39,0.11,0.18,0.55,0.07,22.08
0.39,0.11,0.18,0.55,0.07,22.08
0.4,0.11,0.18,0.55,0.07,22.08
0.4,0.11,0.18,0.55,0.07,22.08
0.39,0.11,0.18,0.54,0.07,22.31
0.39,0.11,0.18,0.54,0.07,22.31
0.4,0.11,0.18,0.54,0.07,22.31
0.4,0.11,0.18,0.54,0.07,22.31
0.4,0.11,0.18,0.54,0.07,22.31
0.4,0.11,0.18,0.54,0.07,22.31
0.4,0.11,0.18,0.54,0.07,22.31
0.41,0.11,0.18,0.54,0.07,22.31
0.4,0.11,0.18,0.55,0.07,22.48
0.4,0.11,0.18,0.55,0.07,22.48
0.4,0.11,0.18,0.55,0.07,22.48
